Model,Accuracy,Macro F1,Macro Precision,Macro Recall,Size (MB),Parameters,Latency (ms),FPS,Recall (mask_weared_incorrect),Recall (with_mask),Recall (without_mask)
baseline_cnn,0.9361702127659575,0.7489619720292247,0.726829618988635,0.7827783158638479,148.12,12938819,9.44,105.9,0.47368421052631576,0.9587628865979382,0.9158878504672897
mobilenetv2,0.502454991816694,0.35623657512431045,0.41256508497887806,0.4583719149497214,9.01,2261827,19.96,50.1,0.10526315789473684,0.44742268041237115,0.822429906542056
resnet50,0.8854337152209493,0.7055389838396556,0.6811242234971049,0.8047582584942944,96.38,24113027,72.17,13.9,0.631578947368421,0.8948453608247423,0.8878504672897196
